,index,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
12129,617,618,M18.1a,7.02e-10,2.4e-08,-7.077415028,1.147898015,4.1523898919999995,11.64283002,1.0469228259999999,0.929581952,0.090964194,0.929581952,WBGene00000703,col-129
6000,368,369,F15E11.15a,6.74e-13,3.86e-11,-6.80418786,0.9470500279999999,2.954775541,10.51072308,0.302095728,1.043259905,0.21970721,1.043259905,WBGene00017501,pud-3
2688,126,127,C27H6.4c.5,3.53e-21,5.88e-19,-6.190782812,0.65541419,2.566397563,11.772689100000001,0.34525395799999997,-0.17559329699999998,0.299097683,0.299097683,WBGene00007786,rmd-2
12145,769,770,M199.5b,7.38e-09,2.03e-07,-6.139308689,1.061790732,2.379846861,8.095149784,1.343685662,-0.368484026,0.347413676,0.347413676,WBGene00000708,col-135
1096,1497,1498,C05D12.3c.1,3.34e-06,4.71e-05,-6.038288366000001,1.298913926,2.564761094,8.539049177999999,2.231276608,-0.215896237,0.299489474,0.299489474,WBGene00014666,C05D12.3
11470,3490,3491,K09E9.1.3,0.001685036,0.010207581,-6.038209274,1.922524392,2.796777819,9.185016102,2.950866093,2.593283961,0.24895445,2.593283961,WBGene00010724,K09E9.1
7767,80,81,F37B4.7,4.35e-27,1.13e-24,-5.858163537,0.543501474,5.573100761,7.956158713,0.029158876,0.413931902,0.036148066,0.413931902,WBGene00018138,folt-2
5659,56,57,F11G11.11,5.29e-32,1.9600000000000002e-29,-5.360892338999999,0.45530072299999996,7.673001778,9.275932531,0.003704877,0.307243246,0.009112356,0.307243246,WBGene00000609,col-20
12941,2474,2475,R12C12.1a.1,0.00018796400000000002,0.001605708,-5.330476913,1.4272966809999998,4.882606603,6.794978327000001,1.257063221,1.7987005,0.056180574000000004,1.7987005,WBGene00020022,R12C12.1
1855,2029,2030,C14C10.2b,4.51e-05,0.000469494,-5.2796324310000005,1.294095936,2.618354191,5.503946288,2.225092993,-0.749103408,0.286933444,0.286933444,WBGene00007585,C14C10.2
2055,665,666,C17C3.12a.2,1.62e-09,5.1500000000000005e-08,-5.24306122,0.869253602,2.743706457,5.222283545,0.873734399,-0.611137396,0.25966833899999997,0.25966833899999997,WBGene00015894,acdh-2
2320,1114,1115,C23H5.8b.2,3e-07,5.69e-06,-5.082993002,0.9921434029999999,1.756619295,6.7076105010000004,0.9005085190000001,-0.7048209059999999,0.57601428,0.57601428,WBGene00016027,C23H5.8
8347,3228,3229,F43H9.2a,0.001078212,0.007059966,-5.069639424,1.550689409,3.4835329460000004,7.293223987999999,0.281549534,3.325406932,0.145748219,3.325406932,WBGene00018398,sptl-2
172,1458,1459,B0218.6a,2.98e-06,4.3200000000000007e-05,-5.027870192,1.076110761,3.612676127,5.615277655,0.704541871,1.032479685,0.132588024,1.032479685,WBGene00015050,clec-51
17135,2158,2159,Y38F1A.6.4,7.099999999999999e-05,0.000695318,-5.009229882,1.26084857,5.091964182,8.636327124,1.518611943,0.865996733,0.049448965,0.865996733,WBGene00012608,Y38F1A.6
1585,85,86,C09G5.5,8.17e-26,2.0100000000000003e-23,-4.933847516,0.46965357799999996,7.888873127999999,6.540607414,0.002572003,0.328289722,0.008367966999999999,0.328289722,WBGene00000656,col-80
3246,869,870,C35C5.10a.2,2.4e-08,5.839999999999999e-07,-4.93127015,0.8837214809999999,1.870876397,5.472936182000001,0.646556015,0.321800578,0.524889469,0.524889469,WBGene00007959,C35C5.10
9410,3104,3105,F54E12.2.2,0.000849499,0.005784526,-4.895409955,1.4673867390000002,1.620018159,5.963655928,2.521096018,0.708739745,0.643676083,0.708739745,WBGene00010061,F54E12.2
15371,1110,1111,T28D6.5e.2,2.87e-07,5.46e-06,-4.848388236,0.9447895040000001,2.184389893,6.782089771,0.93206924,0.255364911,0.40687157,0.40687157,WBGene00012125,T28D6.5
5173,1305,1306,F07B10.1a,1.21e-06,1.95e-05,-4.835730746,0.996086294,2.621589449,5.120575699,0.343566319,1.1447155390000001,0.286193329,1.1447155390000001,WBGene00000539,cln-3.1
12325,1093,1094,R03G5.5a,2.41e-07,4.66e-06,-4.784766701000001,0.92649153,3.327040677,4.581259146,0.190496005,1.097083827,0.164100405,1.097083827,WBGene00019846,gpx-7
537,3516,3517,B0496.3g,0.00173043,0.010399794,-4.763840201,1.5205474319999999,1.625718559,6.181266526,2.827395385,0.34290938299999996,0.640701353,0.640701353,WBGene00006814,unc-82
